Now tracing requests.

Tracing session: d26f6680-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                                      | timestamp    | source    | source_elapsed
Tracing session: d367f750-e4d2-11e6-b264-17f69bb1c0f2

 activity                                                                                                                                                                                                                                                     | timestamp    | source    | source_elapsed
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------+-----------+----------------
                                                                                                                                                                                                                                           execute_cql3_query | 20:54:42,245 | 127.0.0.1 |              0
                                                                                                                                                          Parsing create table testdb.testcf (field0 TEXT primary key,  field1 TEXT, field2 int, field3 int); | 20:54:42,245 | 127.0.0.1 |             39
                                                                                                                                                                                                                                          Preparing statement | 20:54:42,245 | 127.0.0.1 |            162
                                                                                                                                                                                                         Executing single-partition query on schema_keyspaces | 20:54:42,248 | 127.0.0.1 |           3059
                                                                                                                                                                                                                                 Acquiring sstable references | 20:54:42,248 | 127.0.0.1 |           3081
                                                                                                                                                                                                                                  Merging memtable tombstones | 20:54:42,248 | 127.0.0.1 |           3148
                                                                                                                                                                                                         Partition index with 0 entries found for sstable 118 | 20:54:42,248 | 127.0.0.1 |           3315
                                                                                                                                                                                                                  Seeking to partition beginning in data file | 20:54:42,249 | 127.0.0.1 |           3331
                                                                                                                                                                                                                                Key cache hit for sstable 117 | 20:54:42,249 | 127.0.0.1 |           4146
                                                                                                                                                                                                                  Seeking to partition beginning in data file | 20:54:42,249 | 127.0.0.1 |           4161
                                                                                                                                                                                    Skipped 0/2 non-slice-intersecting sstables, included 0 due to tombstones | 20:54:42,251 | 127.0.0.1 |           5980
                                                                                                                                                                                                                   Merging data from memtables and 2 sstables | 20:54:42,251 | 127.0.0.1 |           5993
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,251 | 127.0.0.1 |           6054
                                                                                                                                                              Executing seq scan across 2 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,252 | 127.0.0.1 |           6495
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,253 | 127.0.0.1 |           7330
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,253 | 127.0.0.1 |           7417
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,253 | 127.0.0.1 |           7464
                                                                                                                                                                                                                            Read 3 live and 0 tombstone cells | 20:54:42,253 | 127.0.0.1 |           7530
                                                                                                                                                                                                                                 Scanned 4 rows and matched 4 | 20:54:42,253 | 127.0.0.1 |           7642
                                                                                                                                                              Executing seq scan across 3 sstables for (min(-9223372036854775808), min(-9223372036854775808)] | 20:54:42,253 | 127.0.0.1 |           7799
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,254 | 127.0.0.1 |           8626
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,254 | 127.0.0.1 |           8775
                                                                                                                                                                                                                          Read 403 live and 0 tombstone cells | 20:54:42,256 | 127.0.0.1 |          11259
                                                                                                                                                                                                                            Read 0 live and 0 tombstone cells | 20:54:42,257 | 127.0.0.1 |          11365
                                                                                                                                                                                                                           Read 50 live and 0 tombstone cells | 20:54:42,257 | 127.0.0.1 |          11679
                                                                                                                                                                                                                                 Scanned 5 rows and matched 5 | 20:54:42,257 | 127.0.0.1 |          11811
                                                                                                                                                                                                                               Acquiring switchLock read lock | 20:54:42,257 | 127.0.0.1 |          11862
                                                                                                                                                                                                                                       Appending to commitlog | 20:54:42,257 | 127.0.0.1 |          11875
                                                                                                                                                                                                                     Adding to schema_columnfamilies memtable | 20:54:42,257 | 127.0.0.1 |          11907
                                                                                                                                                                                                                            Adding to schema_columns memtable | 20:54:42,259 | 127.0.0.1 |          14091
                                                                                                                                                                                                                          Adding to schema_keyspaces memtable | 20:54:42,262 | 127.0.0.1 |          16957
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,547 | 127.0.0.1 |         301632
                                                                                                                                                                                                                           Read 25 live and 0 tombstone cells | 20:54:42,549 | 127.0.0.1 |         303970
