
 session_id                           | client    | command | coordinator | duration | parameters                                                                                                                                                                                             | request            | started_at
 86d96e29-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      791 |                           {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.views WHERE keyspace_name = ''testdb'' AND view_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:59.458000+0000
 8369c2d1-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1478 |                                                             {'consistency_level': 'ONE', 'query': 'SELECT schema_version FROM system.local WHERE key=''local''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.693000+0000
 8d1885ca-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     2801 |                                                                                     {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.indexes', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:38.428000+0000
 8e11f330-778b-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     2702 |                                                                        {'consistency_level': 'ONE', 'page_size': '100', 'query': 'select * from testdb.testcf;', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:04:52.579000+0000
 902354c1-7790-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |    10955 |                                                                                     {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.columns', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:40:43.532000+0000
 839343d0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     9113 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 83931cc0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.965000+0000
 839825d0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      823 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 8396ed50-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.997000+0000
 83f5610a-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      906 |                       {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.triggers WHERE keyspace_name = ''testdb'' AND table_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.608000+0000
 83f4c4c0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1806 |                         {'consistency_level': 'ONE', 'query': 'SELECT * FROM system_schema.tables WHERE keyspace_name = ''testdb'' AND table_name = ''testcf''', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:54.604000+0000
 8377f3a0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      756 |                 {'consistency_level': 'ONE', 'page_size': '100', 'query': 'insert into testdb.testcf (field0,field1,field2,field3) values (''C'',''G2'',3,30);', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.786000+0000
 8369c2d0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |      792 |                                                              {'consistency_level': 'ONE', 'query': 'SELECT peer, rpc_address, schema_version FROM system.peers', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.693000+0000
 837841c0-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     8699 | {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.sessions WHERE session_id = 8377f3a0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.788000+0000
 83805810-778d-11e7-8276-e16f4b63abe2 | 127.0.0.1 |   QUERY |   127.0.0.1 |     1397 |   {'consistency_level': 'LOCAL_ONE', 'page_size': '5000', 'query': 'SELECT * FROM system_traces.events WHERE session_id = 837d71e0-778d-11e7-8276-e16f4b63abe2', 'serial_consistency_level': 'SERIAL'} | Execute CQL3 query | 2017-08-02 14:18:53.841000+0000
